"","Time","Event_length","Y89Di","Pd102Di","Rh103Di","Pd104Di","Pd105Di","Pd106Di","Pd108Di","Pd110Di","In113Di","In115Di","Ba138Di","La139Di","Ce140Di","Pr141Di","Nd142Di","Nd143Di","Nd144Di","Nd145Di","Nd146Di","Sm147Di","Nd148Di","Sm149Di","Nd150Di","Eu151Di","Sm152Di","Eu153Di","Sm154Di","Gd155Di","Gd156Di","Gd157Di","Gd158Di","Tb159Di","Gd160Di","Dy161Di","Dy162Di","Dy163Di","Dy164Di","Ho165Di","Er166Di","Er167Di","Er168Di","Tm169Di","Er170Di","Yb171Di","Yb172Di","Yb173Di","Yb174Di","Lu175Di","Yb176Di","Ir191Di","Ir193Di","Pt195Di","Pt196Di","Pb208Di","Center","Offset","Width","Residual","FileNum"
"Ho165Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78699155031782e-48,7.81066026596478e-59,-1.67384253096461e-39,-3.14864938980399e-41,-2.83003209281338e-40,-7.20393261941418e-40,-1.14363315413743e-39,-9.40395480657831e-38,-1.23019076696192e-37,-7.59993026633006e-38,-1.01284430223385e-37,-6.20545595450473e-40,-1.7364689980958e-36,-4.97186148441115e-39,-1.11134015878131e-34,6.67311952368372e-31,2.4309790570528e-31,2.21346510708543e-47,8.00774342842046e-30,1.8589546749539e-31,1.61558713389263e-27,2.58493941422821e-26,7.9658321741506e-27,1.55096364853693e-25,0,1,0.000413046092265253,-1.99360855720825e-21,-2.71935610662321e-22,-7.75482006321686e-26,-1.44563442608239e-23,-7.09858909098845e-27,-1.64563770743466e-27,-4.52855436829822e-29,-3.22446876087865e-29,-2.15704141113824e-32,6.31088687144445e-30,0,0,0,0,0,0,0,0,0,0
"Er166Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6609389235788e-44,-3.20118179149215e-43,7.59277550613367e-37,9.44351206384202e-38,4.64096059399049e-36,-1.30287022599833e-36,2.06427778020601e-37,2.30502887661468e-38,1.61682516302353e-34,-1.73285957107813e-34,-2.3896600713668e-34,-1.73119078505564e-36,-2.28240837661456e-33,-1.20432185164475e-35,-7.17764460741214e-31,-2.57780733719698e-28,-6.97998582721773e-27,-3.20273305497303e-30,4.38883950868535e-27,-3.64562562324099e-29,1.6575118468027e-27,6.45971661465333e-26,-1.05877992148633e-22,4.33237635182863e-25,3.54098583096357e-05,0.000142039986285829,1,0.0139757370047105,0.002705370127583,-2.35369166011262e-22,0.000250441430758587,-2.73706024222019e-23,-4.17813021180727e-24,-1.57528961505089e-25,-1.06039027120881e-25,-1.09041156557913e-29,-2.85122224685273e-26,0,0,0,0,0,0,0,0,0,0
"Er167Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.34339268875604e-46,1.79756666882007e-42,1.26623202296909e-38,6.45973561843144e-39,-1.64523694879978e-38,-1.09136782289748e-38,-1.38868939995219e-37,1.5296367943684e-36,-3.74482291626199e-36,-1.48363217450866e-37,-3.22592261159426e-36,-4.7082144743442e-39,-7.73315516176225e-36,-1.7856540367636e-37,6.56443466926327e-34,4.51843247008305e-31,-1.71347480601724e-29,-9.85148326810438e-30,1.51617594560803e-28,-2.77269210429128e-30,5.25874237526951e-27,9.95460368561652e-25,-1.37490592870075e-24,1.45620691437303e-24,1.46438685975107e-22,-4.26324006174456e-22,0.0131154476716887,1,0.0332360504571742,-1.69377909570407e-21,0.000794678679520609,-9.88248339771941e-23,-5.38494926279889e-24,-1.82022462573162e-25,-5.22231856206357e-26,9.99504472956954e-29,-1.23307255776519e-25,0,0,0,0,0,0,0,0,0,0
"Er168Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2684364166439e-47,3.93827793069135e-43,3.14418371616873e-40,-1.35009542252364e-38,-2.28808980601984e-38,-3.82106534681823e-38,-4.38642053690576e-38,7.59917134489356e-37,-1.00457691032791e-36,-4.3631837250611e-37,8.91122325557438e-37,-7.85099082086526e-40,4.91866092930483e-36,-1.07949098582551e-37,-9.24530156897391e-35,-5.40040557980182e-30,-5.27780566105158e-30,-9.27875738509501e-30,-1.85341849668959e-29,-5.07977538377077e-31,1.12177465986259e-26,3.62996870617772e-25,2.36468613893057e-25,6.18010659461143e-24,2.64693379820118e-23,-8.18769147488944e-23,0.00167371471601072,0.00497923381117102,1,0.000289324035122413,0.00169489539461858,2.11754703856094e-22,-1.14869662689868e-23,-7.72610737432732e-25,-5.47349811790157e-26,3.40069875690472e-28,-2.20512720502946e-25,0,0,0,0,0,0,0,0,0,0
"Tm169Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.38172886409448e-47,-7.73854739702072e-43,-7.38280440374518e-39,3.61757542416622e-41,-6.30375010342659e-40,-7.58924057279173e-39,-1.24514306428508e-39,3.763876434245e-37,-4.55874361898758e-37,-2.38001253100036e-37,3.76387643424501e-37,-2.32814078306663e-39,3.00926553810506e-36,5.1944671844776e-38,1.98647816635109e-33,8.13468979352619e-30,1.57772181044202e-29,8.96647027662853e-30,2.52281507602895e-29,1.03818271021065e-30,1.15670095277607e-26,5.9951575180958e-26,3.10318871817351e-25,1.72139265715693e-24,0,2.26021869413013e-25,-2.54109774980388e-21,-1.69406516653592e-21,0.000304992907356411,1,0.000771394559229795,0,-1.18446149127837e-23,-5.76939280298895e-25,-4.3445912524318e-26,9.03672402403543e-29,-1.40108393302582e-25,0,0,0,0,0,0,0,0,0,0
"Er170Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.48448327071632e-43,-1.46932311637575e-39,5.23424263897422e-36,6.6082084197879e-36,3.49464901443872e-35,-5.61306396516328e-36,3.97633161541383e-36,1.45754783169249e-38,-4.63174399592066e-34,-9.69272811976575e-34,-1.27581977033882e-33,-8.29444177482987e-36,-2.04023345408349e-32,-2.41588200801208e-35,-1.9065793903745e-30,-6.65243432897818e-28,-1.42996119082427e-26,-1.29245489809442e-26,-5.69740233721258e-26,5.69471283195204e-28,6.61745325797484e-24,2.11762711766918e-22,-7.36150670289276e-25,1.69409852726401e-21,0.000134843941386211,-2.14738494127474e-22,0.0069969461657012,0.00520344477950038,0.00979301170540169,0.000557067521133949,1,0.000736200796408511,-6.77625777802317e-21,-2.11758055563224e-22,2.11758055563224e-22,-2.01633202671861e-25,5.2939513890806e-23,0,0,0,0,0,0,0,0,0,0
"Yb171Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.59147682026926e-47,4.45579263387604e-43,3.34133986896601e-38,1.26049437114291e-38,3.83423271532267e-38,-4.92134347620388e-39,2.99922933036456e-39,-1.14256405289131e-36,-1.08786481952321e-36,-1.67972009694446e-36,-3.94161377205819e-37,-4.59750005714557e-40,-1.23275032330528e-35,-9.95118423852166e-38,2.55409418022813e-34,4.47468273159708e-30,1.89893818271006e-29,3.97872281517456e-30,-5.04924716199659e-29,-6.0498787512051e-31,1.4364033693266e-26,5.63199392825376e-25,6.26497314961257e-25,2.0159317300406e-24,4.89339669775663e-25,9.99999454010723e-25,-4.4126379182319e-25,-5.06685903229861e-21,-3.35500051048988e-21,-3.18730559641516e-22,0.00117592548589702,1,0.0380344448841669,0.00216012985768397,0.00244225654637358,-4.06485478663199e-22,0.00040666712426585,0,0,0,0,0,0,0,0,0,0
"Yb172Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30879055006137e-47,4.51290841185552e-44,3.05225288525313e-39,2.19439957820772e-39,3.73385281517201e-39,-3.36357091994355e-39,-3.84721009925556e-39,-3.81651112017144e-37,-8.20745072586965e-37,-3.77209127148542e-37,-4.76624584928899e-37,-8.03057010324497e-40,-7.67819823980947e-36,-2.66802586489027e-38,-1.00499453202649e-33,3.05375772052435e-30,1.67136819813044e-30,1.97365444063894e-30,-4.16259453754629e-31,3.83694098527346e-31,5.5533541329682e-27,1.80553709244456e-25,1.62199679761919e-25,1.21720709632097e-24,1.29863952190366e-23,1.48148156383866e-25,-7.91848499926783e-24,3.74138329105189e-22,8.35686629874066e-22,-3.0068049008639e-23,0.000352091763092858,0.00806245316140492,1,0.0377088908410302,0.0100768859322136,-1.5720516236457e-21,0.000650933333204864,0,0,0,0,0,0,0,0,0,0
"Yb173Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.201272741662e-49,-1.3113960996352e-43,1.753405543339e-39,1.28417123929997e-39,5.41697502935811e-39,-7.04989908713753e-40,1.04778928530244e-40,8.55569793468745e-38,-2.77964265694419e-38,4.69987108521985e-38,-1.01552673715441e-37,-3.42778673366765e-40,-1.65323484345622e-36,-5.79327752604172e-39,1.29347774799184e-34,1.82832491490723e-30,-1.50072586104772e-30,-1.13343562387949e-30,-1.68367237447072e-31,1.40810308079936e-31,-8.17534584733633e-29,4.95704495589577e-26,5.61916338547073e-26,3.85327936646656e-25,-6.41779645084512e-24,1.14886721007482e-25,-2.11540556730404e-22,-2.20775277683848e-22,4.26774179467359e-22,-2.78603265411039e-23,0.000221352193971226,0.00274549971162162,0.0148280190641988,1,0.0328948841202106,-3.81091343350843e-21,0.00210043672185884,0,0,0,0,0,0,0,0,0,0
"Yb174Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83003923844191e-49,-3.33861781883967e-45,-6.10969821353746e-41,-3.36616239700028e-41,-4.20041260144264e-41,4.76018026628266e-42,-3.52207206018356e-42,5.36791576760996e-39,2.20572090512289e-39,2.07889345466243e-39,2.32903207690307e-39,7.49510012251011e-42,3.18677984337525e-38,1.07803644341178e-41,1.21469754386324e-35,1.46998442086164e-32,4.99854269334863e-32,-3.3747439372377e-32,-1.73050283587567e-31,2.47469084668407e-33,5.84731556872359e-30,5.69183543176577e-28,3.04581568266065e-28,-1.06235289158677e-27,8.83347828177893e-26,1.31490565903075e-27,5.43250450434387e-24,7.14423184402332e-24,2.54382757985505e-24,5.80431398407878e-25,8.4682884225049e-22,0.000364201672830282,0.00166216681132378,0.00559814073424309,1,0.000618988440305126,0.0044387313762992,0,0,0,0,0,0,0,0,0,0
